free parameters,n=100,n=300,n=900,n=2700,n=8100,
p = 0.000000,-3933.000000,-13008.240234,-50644.781250,-176766.109375,-626643.625000,
p = 0.100000,36420.726562,-9358.146484,-50893.207031,-178530.625000,-605913.000000,
p = 0.200000,36921.765625,-8563.184570,-48069.019531,-165753.296875,-601026.937500,
p = 0.300000,37079.566406,-8216.882812,-45911.273438,-174409.750000,-578412.250000,
p = 0.400000,37217.468750,-7646.913086,-44793.449219,-160458.468750,-597920.875000,
p = 0.500000,37448.882812,-8222.522461,-43464.417969,-159232.625000,-574013.750000,
p = 0.600000,37466.148438,-6991.634766,-42419.812500,-155965.593750,-538002.062500,
p = 0.700000,38044.261719,-6325.743164,-40618.164062,-146183.609375,-527795.250000,
p = 0.800000,37959.824219,-6226.507812,-40228.253906,-151925.406250,-528896.500000,
p = 0.900000,38322.187500,-6410.271484,-38794.859375,-144817.968750,-507184.187500,
p = 1.000000,38568.042969,-5636.996094,-40271.164062,-144567.906250,-519388.312500,
